,target_x,target_y,ref_x_1,ref_y_1,ref_x_2,ref_y_2,ref_x_3,ref_y_3,ref_x_4,ref_y_4,ref_x_5,ref_y_5,ref_x_6,ref_y_6,ref_x_7,ref_y_7,ref_x_8,ref_y_8,ref_x_9,ref_y_9,ref_x_10,ref_y_10,ref_x_11,ref_y_11,ref_x_12,ref_y_12,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11,distance_12
0,50,95,20,74,69,92,42,25,40,53,36,81,69,87,83,11,38,21,13,86,25,36,93,0,4,67,36.61966684720111,19.235384061671343,70.45565981523414,43.174066289845804,19.79898987322333,20.615528128088304,90.24965373894794,74.96665925596525,38.07886552931954,64.07807737440318,104.27847332982968,53.85164807134504
1,98,8,94,51,82,90,93,27,77,67,58,62,7,97,33,65,15,39,89,63,58,1,61,38,85,59,43.18564576337837,83.54639429682169,19.6468827043885,62.625873247404705,67.20119046564577,127.28707711311466,86.45229898620394,88.60022573334675,55.731499172371095,40.607881008493905,47.634021455258214,52.630789467763066
2,53,37,91,26,45,62,34,39,80,67,13,40,16,90,2,25,85,54,72,32,52,60,26,90,40,23,39.56008088970496,26.248809496813376,19.1049731745428,40.36087214122113,40.11234224026316,64.63745044476924,52.392747589718944,36.235341863986875,19.6468827043885,23.021728866442675,59.481089431852205,19.1049731745428
3,99,91,9,51,5,25,97,45,3,52,11,39,47,20,48,18,48,14,89,58,95,58,99,58,31,69,98.48857801796105,114.85643212288984,46.04345773288535,103.61949623502326,102.2154587134451,88.0056816347672,89.05054744357274,92.35799911215054,34.48187929913333,33.24154027718932,33.0,71.47027354082255
4,28,79,48,0,46,28,52,17,71,51,90,21,29,96,37,14,38,76,35,73,81,10,35,4,81,96,81.49233092751734,54.08326913195984,66.48308055437865,51.31276644267,84.8999411071645,17.029386365926403,65.62011886609167,10.44030650891055,9.219544457292887,87.00574693662483,75.32595834106593,55.65968020030299
5,50,6,43,64,63,87,28,70,83,51,50,58,15,37,45,51,56,3,31,86,27,76,73,56,6,44,58.42088667591412,82.03657720797473,67.67569726275453,55.80322571321482,52.0,46.75467891024384,45.27692569068709,6.708203932499369,82.22530024268686,73.68174807915459,55.036351623268054,58.137767414994535
6,35,44,15,85,0,53,73,70,16,27,83,39,70,34,91,71,23,79,52,37,88,77,94,46,89,47,45.617978911828175,36.138621999185304,46.04345773288535,25.495097567963924,48.25971404805462,36.40054944640259,62.16912416947821,37.0,18.384776310850235,62.433965115151864,59.033888572581766,54.08326913195984
7,34,99,69,4,30,82,72,53,26,54,23,33,77,92,65,36,99,2,44,56,59,9,27,87,74,3,101.24228365658294,17.46424919657298,59.665735560705194,45.70557952810576,66.91038783328041,43.56604182158393,70.21395872616783,116.76472069936193,44.14748010928823,93.40770846134703,13.892443989449804,104.0
8,57,82,29,92,4,46,76,58,0,96,99,63,64,88,22,1,96,7,81,50,81,46,18,5,30,79,29.732137494637012,64.07027391856539,30.610455730027933,58.69412236331676,46.09772228646444,9.219544457292887,88.23831367382311,84.53401682163222,40.0,43.266615305567875,86.31338250816034,27.16615541441225
9,22,52,96,24,74,68,10,82,75,48,36,99,61,52,9,83,66,60,31,93,16,68,95,35,48,6,79.12016177940993,54.405882034941776,32.31098884280702,53.150729063673246,49.040799340956916,39.0,33.61547262794322,44.721359549995796,41.97618372363071,17.08800749063506,74.95331880577403,52.839379254491625
